Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"578","20161116999","DATA UPDATE ReaderWGFormat ReaderID=1	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
ReaderID=2	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"577","20161116999","DATA DELETE ReaderWGFormat ReaderID=1	DevID=4
ReaderID=2	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"576","20161116999","DATA UPDATE DoorParameters ID=2	Name=DoorAutoMatch	Value=1	DevID=4
ID=2	Name=DoorDrivertime	Value=5	DevID=4
ID=2	Name=DoorKeepOpenTimeZone	Value=0	DevID=4
ID=2	Name=DoorValidTZ	Value=1	DevID=4
ID=2	Name=DoorSupperPassWord	Value=	DevID=4
ID=2	Name=DoorIntertime	Value=2	DevID=4
ID=2	Name=DoorVerifyType	Value=0	DevID=4
ID=2	Name=DoorSensorType	Value=0	DevID=4
ID=2	Name=DoorDetectortime	Value=15	DevID=4
ID=2	Name=DoorCloseAndLock	Value=0	DevID=4
ID=2	Name=DoorForcePassWord	Value=	DevID=4
ID=2	Name=DoorInTimeAPB	Value=0	DevID=4
ID=2	Name=DoorREXInput	Value=1	DevID=4
ID=2	Name=DoorREXTimeOut	Value=	DevID=4
ID=2	Name=DoorDelayOpenTime	Value=0	DevID=4
ID=2	Name=ExtDoorDelayDrivertime	Value=5	DevID=4
ID=2	Name=DoorMultiCardInterTime	Value=10	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"575","20161116999","DATA UPDATE InputIOSetting Number=2	InType=0	TimeZoneId=1	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"574","20161116999","DATA UPDATE ReaderWGFormat ReaderID=3	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
ReaderID=4	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"573","20161116999","DATA DELETE ReaderWGFormat ReaderID=3	DevID=4
ReaderID=4	DevID=4
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"572","20161116999","DATA DELETE InputIOSetting *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"571","20161116999","DATA DELETE ReaderWGFormat *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"570","20161116999","DATA DELETE DoorParameters *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"569","20161116999","DATA UPDATE DoorProperty ID=1	DevID=4	Address=1	Disable=0
ID=2	DevID=4	Address=2	Disable=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"568","20161116999","DATA DELETE DoorProperty *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"567","20161116999","DATA DELETE DevParameters *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"566","20161116999","DATA UPDATE DevProperty ID=4	Type=0	BusType=0	MachineType=29	Address=0	Mac=	IPAddress=192.168.1.201	SN=20161116999	IsMaster=0
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
"565","20161116999","DATA DELETE DevProperty *
...","Não","2026-08-13 15:39:42","2026-08-13 15:39:51","0","",
